trial,arm,target_index,target_x,target_y,hold_time_seconds,completed_at
1,right,1,875,459,1.086,2026-09-11T08:14:39
2,right,2,945,473,1.07,2026-09-11T08:14:44
3,right,3,939,599,1.101,2026-09-11T08:14:47
4,right,4,887,591,1.089,2026-09-11T08:14:50
5,right,5,910,529,1.088,2026-09-11T08:14:52
6,right,1,875,459,1.069,2026-09-11T08:14:55
7,right,2,945,473,1.094,2026-09-11T08:14:58
8,right,3,939,599,1.088,2026-09-11T08:15:01
9,right,4,887,591,1.003,2026-09-11T08:15:04
10,right,5,910,529,1.085,2026-09-11T08:15:05
11,right,1,875,459,1.085,2026-09-11T08:15:08
