trial,arm,target_x,target_y,hold_time_seconds,completed_at
1,left,998,374,1.103,2026-09-10T16:23:49
2,left,793,446,1.088,2026-09-10T16:23:54
3,left,704,288,1.09,2026-09-10T16:24:05
4,left,921,251,1.091,2026-09-10T16:24:34
